date,category,subcategory,amount,description
2024-01-01,entertainment,subscriptions,1819.61,Subscriptions expense
2024-01-01,misc,gifts,3264.09,Gifts expense
2024-01-01,misc,gifts,2717.91,Gifts expense
2024-01-01,transport,public transport,4658.64,Public Transport expense
2024-01-02,bills,rent,2913.22,Rent expense
2024-01-02,misc,donations,4828.14,Donations expense
2024-01-02,shopping,clothes,3908.41,Clothes expense
2024-01-02,entertainment,movies,150.55,Movies expense
2024-01-02,entertainment,subscriptions,1935.2,Subscriptions expense
2024-01-03,health,pharmacy,3812.23,Pharmacy expense
2024-01-03,health,insurance,4908.06,Insurance expense
2024-01-03,food,coffee,3297.34,Coffee expense
2024-01-03,entertainment,games,1845.36,Games expense
2024-01-04,shopping,clothes,1326.52,Clothes expense
2024-01-04,shopping,clothes,1358.35,Clothes expense
2024-01-04,shopping,electronics,1479.85,Electronics expense
2024-01-05,shopping,clothes,3729.52,Clothes expense
2024-01-05,bills,electricity,3852.36,Electricity expense
2024-01-05,entertainment,subscriptions,2947.78,Subscriptions expense
2024-01-05,health,insurance,1553.83,Insurance expense
2024-01-05,bills,internet,984.64,Internet expense
2024-01-06,misc,donations,1859.91,Donations expense
2024-01-06,transport,fuel,3462.18,Fuel expense
2024-01-06,savings,emergency fund,1252.38,Emergency Fund expense
2024-01-06,health,pharmacy,2321.19,Pharmacy expense
2024-01-07,transport,taxi,2548.83,Taxi expense
2024-01-07,savings,retirement,1400.84,Retirement expense
2024-01-07,transport,public transport,647.53,Public Transport expense
2024-01-08,shopping,accessories,3806.67,Accessories expense
2024-01-08,misc,others,449.01,Others expense
2024-01-08,shopping,clothes,3597.32,Clothes expense
2024-01-08,savings,investments,1954.22,Investments expense
2024-01-08,transport,taxi,4973.49,Taxi expense
2024-01-09,shopping,electronics,1915.1,Electronics expense
2024-01-09,entertainment,subscriptions,3891.4,Subscriptions expense
2024-01-09,bills,internet,4143.96,Internet expense
2024-01-09,savings,investments,3521.29,Investments expense
2024-01-10,health,doctor,2848.81,Doctor expense
2024-01-10,food,groceries,250.44,Groceries expense
2024-01-10,transport,fuel,3694.49,Fuel expense
2024-01-11,bills,electricity,4870.29,Electricity expense
2024-01-11,misc,others,4290.58,Others expense
2024-01-11,bills,rent,3636.63,Rent expense
2024-01-11,savings,investments,4210.39,Investments expense
2024-01-12,food,restaurants,3355.75,Restaurants expense
2024-01-12,savings,emergency fund,4931.53,Emergency Fund expense
2024-01-12,bills,electricity,4512.7,Electricity expense
2024-01-13,transport,fuel,2414.44,Fuel expense
2024-01-13,food,coffee,3285.16,Coffee expense
2024-01-13,savings,emergency fund,402.69,Emergency Fund expense
2024-01-14,health,doctor,746.51,Doctor expense
2024-01-14,savings,retirement,2281.84,Retirement expense
2024-01-14,health,insurance,2228.15,Insurance expense
2024-01-14,health,pharmacy,3914.31,Pharmacy expense
2024-01-14,food,restaurants,2612.77,Restaurants expense
2024-01-15,bills,internet,1798.42,Internet expense
2024-01-15,health,doctor,368.64,Doctor expense
2024-01-15,misc,donations,2035.31,Donations expense
2024-01-15,transport,fuel,1155.0,Fuel expense
2024-01-16,shopping,electronics,398.68,Electronics expense
2024-01-16,bills,electricity,846.99,Electricity expense
2024-01-16,transport,fuel,166.44,Fuel expense
2024-01-16,shopping,accessories,1092.22,Accessories expense
2024-01-16,savings,investments,3134.23,Investments expense
2024-01-17,shopping,clothes,2226.48,Clothes expense
2024-01-17,shopping,clothes,3174.23,Clothes expense
2024-01-17,bills,internet,670.37,Internet expense
2024-01-17,misc,donations,2696.96,Donations expense
2024-01-18,entertainment,games,2456.94,Games expense
2024-01-18,transport,taxi,2194.78,Taxi expense
2024-01-18,entertainment,movies,3125.33,Movies expense
2024-01-18,shopping,accessories,4805.87,Accessories expense
2024-01-19,health,doctor,979.16,Doctor expense
2024-01-19,savings,emergency fund,1776.02,Emergency Fund expense
2024-01-19,misc,donations,1234.2,Donations expense
2024-01-19,savings,emergency fund,4018.04,Emergency Fund expense
2024-01-20,misc,gifts,1296.81,Gifts expense
2024-01-20,misc,donations,2112.7,Donations expense
2024-01-20,entertainment,subscriptions,4143.65,Subscriptions expense
2024-01-20,savings,emergency fund,2303.25,Emergency Fund expense
2024-01-20,misc,gifts,3434.1,Gifts expense
2024-01-21,bills,electricity,4155.33,Electricity expense
2024-01-21,shopping,accessories,3708.18,Accessories expense
2024-01-21,shopping,accessories,3714.21,Accessories expense
2024-01-21,entertainment,subscriptions,2702.78,Subscriptions expense
2024-01-21,shopping,clothes,2650.87,Clothes expense
2024-01-22,transport,taxi,1495.91,Taxi expense
2024-01-22,shopping,accessories,1743.36,Accessories expense
2024-01-22,misc,others,3237.51,Others expense
2024-01-23,health,insurance,1591.79,Insurance expense
2024-01-23,transport,fuel,812.94,Fuel expense
2024-01-23,transport,public transport,3844.8,Public Transport expense
2024-01-23,transport,taxi,1623.61,Taxi expense
2024-01-23,transport,fuel,424.12,Fuel expense
2024-01-24,entertainment,games,61.89,Games expense
2024-01-24,misc,gifts,3074.07,Gifts expense
2024-01-24,food,coffee,1964.32,Coffee expense
2024-01-24,entertainment,movies,1086.41,Movies expense
2024-01-24,misc,donations,2314.07,Donations expense
2024-01-25,health,pharmacy,639.9,Pharmacy expense
2024-01-25,transport,public transport,3859.88,Public Transport expense
2024-01-25,entertainment,movies,1808.26,Movies expense
2024-01-25,transport,public transport,1479.63,Public Transport expense
2024-01-25,food,groceries,4077.08,Groceries expense
2024-01-26,savings,emergency fund,652.49,Emergency Fund expense
2024-01-26,misc,donations,4617.29,Donations expense
2024-01-26,food,groceries,2895.6,Groceries expense
2024-01-26,health,pharmacy,4635.54,Pharmacy expense
2024-01-26,bills,internet,1051.31,Internet expense
2024-01-27,shopping,accessories,1296.64,Accessories expense
2024-01-27,shopping,electronics,4004.73,Electronics expense
2024-01-27,savings,retirement,4000.12,Retirement expense
2024-01-27,savings,emergency fund,1553.06,Emergency Fund expense
2024-01-27,misc,donations,3228.15,Donations expense
2024-01-28,bills,rent,215.82,Rent expense
2024-01-28,entertainment,games,743.68,Games expense
2024-01-28,bills,rent,2075.78,Rent expense
2024-01-28,bills,rent,1591.28,Rent expense
2024-01-29,transport,fuel,3953.68,Fuel expense
2024-01-29,health,insurance,271.13,Insurance expense
2024-01-29,food,coffee,2691.87,Coffee expense
2024-01-29,savings,emergency fund,1599.56,Emergency Fund expense
2024-01-30,shopping,electronics,4281.13,Electronics expense
2024-01-30,misc,others,2293.67,Others expense
2024-01-30,shopping,accessories,1305.07,Accessories expense
2024-01-31,shopping,electronics,3988.09,Electronics expense
2024-01-31,shopping,electronics,4215.55,Electronics expense
2024-01-31,health,insurance,1934.9,Insurance expense
2024-02-01,misc,donations,2061.93,Donations expense
2024-02-01,entertainment,subscriptions,1172.02,Subscriptions expense
2024-02-01,misc,donations,4012.2,Donations expense
2024-02-01,food,groceries,4035.03,Groceries expense
2024-02-01,health,insurance,3454.88,Insurance expense
2024-02-02,bills,electricity,3976.78,Electricity expense
2024-02-02,bills,rent,2118.37,Rent expense
2024-02-02,health,doctor,1540.87,Doctor expense
2024-02-02,entertainment,subscriptions,2706.57,Subscriptions expense
2024-02-03,misc,others,2218.43,Others expense
2024-02-03,transport,fuel,3845.32,Fuel expense
2024-02-03,bills,rent,4940.73,Rent expense
2024-02-04,bills,internet,4651.84,Internet expense
2024-02-04,transport,public transport,2178.26,Public Transport expense
2024-02-04,transport,taxi,884.39,Taxi expense
2024-02-04,shopping,clothes,4046.25,Clothes expense
2024-02-05,food,groceries,2464.51,Groceries expense
2024-02-05,health,doctor,3590.46,Doctor expense
2024-02-05,entertainment,subscriptions,723.81,Subscriptions expense
2024-02-06,misc,others,2982.24,Others expense
2024-02-06,shopping,accessories,2373.34,Accessories expense
2024-02-06,bills,rent,2076.0,Rent expense
2024-02-06,entertainment,games,4722.18,Games expense
2024-02-07,food,groceries,2820.89,Groceries expense
