datetime,date,time,month,week,category,amount,description,type
2024-01-01 11:09:03,2024-01-01,11:09:03,January 2024,Week 1,Healthcare,3648.46,Healthcare expense,need
2024-01-02 09:49:47,2024-01-02,09:49:47,January 2024,Week 1,Entertainment,2659.09,Entertainment expense,want
2024-01-02 11:34:55,2024-01-02,11:34:55,January 2024,Week 1,Food Delivery,1478.5,Food Delivery expense,want
2024-01-02 19:03:11,2024-01-02,19:03:11,January 2024,Week 1,Rent,647.41,Rent expense,need
2024-01-03 01:05:56,2024-01-03,01:05:56,January 2024,Week 1,Subscriptions,4326.52,Subscriptions expense,want
2024-01-03 01:53:27,2024-01-03,01:53:27,January 2024,Week 1,Entertainment,3585.31,Entertainment expense,want
2024-01-03 22:31:49,2024-01-03,22:31:49,January 2024,Week 1,Entertainment,1687.01,Entertainment expense,want
2024-01-06 02:09:59,2024-01-06,02:09:59,January 2024,Week 1,Subscriptions,2835.82,Subscriptions expense,want
2024-01-06 14:56:16,2024-01-06,14:56:16,January 2024,Week 1,Food Delivery,4438.62,Food Delivery expense,want
2024-01-06 17:51:07,2024-01-06,17:51:07,January 2024,Week 1,Groceries,451.94,Groceries expense,need
2024-01-07 05:17:02,2024-01-07,05:17:02,January 2024,Week 1,Rent,1951.27,Rent expense,need
2024-01-07 06:44:39,2024-01-07,06:44:39,January 2024,Week 1,Travel,3767.95,Travel expense,want
2024-01-07 07:12:01,2024-01-07,07:12:01,January 2024,Week 1,Dining Out,2499.87,Dining Out expense,want
2024-01-07 13:19:25,2024-01-07,13:19:25,January 2024,Week 1,Transport,649.44,Transport expense,need
2024-01-07 16:23:11,2024-01-07,16:23:11,January 2024,Week 1,Shopping,4457.12,Shopping expense,want
2024-01-08 07:41:46,2024-01-08,07:41:46,January 2024,Week 2,Groceries,727.7,Groceries expense,need
2024-01-08 20:30:55,2024-01-08,20:30:55,January 2024,Week 2,Travel,1497.64,Travel expense,want
2024-01-09 03:12:38,2024-01-09,03:12:38,January 2024,Week 2,Transport,153.48,Transport expense,need
2024-01-09 16:03:55,2024-01-09,16:03:55,January 2024,Week 2,Food Delivery,2839.58,Food Delivery expense,want
2024-01-11 00:39:15,2024-01-11,00:39:15,January 2024,Week 2,Utilities,3822.78,Utilities expense,need
2024-01-11 19:30:24,2024-01-11,19:30:24,January 2024,Week 2,Entertainment,1393.66,Entertainment expense,want
2024-01-13 01:56:18,2024-01-13,01:56:18,January 2024,Week 2,Healthcare,3115.46,Healthcare expense,need
2024-01-13 10:12:48,2024-01-13,10:12:48,January 2024,Week 2,Shopping,1915.5,Shopping expense,want
2024-01-13 11:27:39,2024-01-13,11:27:39,January 2024,Week 2,Dining Out,3983.41,Dining Out expense,want
2024-01-13 17:23:58,2024-01-13,17:23:58,January 2024,Week 2,Travel,2439.97,Travel expense,want
2024-01-13 22:48:34,2024-01-13,22:48:34,January 2024,Week 2,Groceries,331.2,Groceries expense,need
2024-01-14 00:57:55,2024-01-14,00:57:55,January 2024,Week 2,Utilities,2177.7,Utilities expense,need
2024-01-14 02:37:56,2024-01-14,02:37:56,January 2024,Week 2,Healthcare,1432.61,Healthcare expense,need
2024-01-14 20:31:26,2024-01-14,20:31:26,January 2024,Week 2,Dining Out,3735.53,Dining Out expense,want
2024-01-15 05:10:25,2024-01-15,05:10:25,January 2024,Week 3,Transport,4184.03,Transport expense,need
2024-01-15 05:28:02,2024-01-15,05:28:02,January 2024,Week 3,Shopping,1940.45,Shopping expense,want
2024-01-15 06:30:19,2024-01-15,06:30:19,January 2024,Week 3,Healthcare,2424.94,Healthcare expense,need
2024-01-15 14:13:16,2024-01-15,14:13:16,January 2024,Week 3,Subscriptions,133.95,Subscriptions expense,want
2024-01-16 00:20:07,2024-01-16,00:20:07,January 2024,Week 3,Healthcare,1768.59,Healthcare expense,need
2024-01-16 09:02:26,2024-01-16,09:02:26,January 2024,Week 3,Rent,452.1,Rent expense,need
2024-01-17 00:52:43,2024-01-17,00:52:43,January 2024,Week 3,Travel,200.53,Travel expense,want
2024-01-17 13:09:35,2024-01-17,13:09:35,January 2024,Week 3,Shopping,380.62,Shopping expense,want
2024-01-19 10:38:28,2024-01-19,10:38:28,January 2024,Week 3,Entertainment,3795.2,Entertainment expense,want
2024-01-20 06:52:11,2024-01-20,06:52:11,January 2024,Week 3,Groceries,3238.51,Groceries expense,need
2024-01-20 19:42:09,2024-01-20,19:42:09,January 2024,Week 3,Shopping,1892.33,Shopping expense,want
2024-01-21 16:31:09,2024-01-21,16:31:09,January 2024,Week 3,Rent,2823.14,Rent expense,need
2024-01-22 10:24:16,2024-01-22,10:24:16,January 2024,Week 4,Subscriptions,2363.19,Subscriptions expense,want
2024-01-22 11:43:40,2024-01-22,11:43:40,January 2024,Week 4,Food Delivery,3686.07,Food Delivery expense,want
2024-01-23 02:03:20,2024-01-23,02:03:20,January 2024,Week 4,Entertainment,133.37,Entertainment expense,want
2024-01-23 05:27:49,2024-01-23,05:27:49,January 2024,Week 4,Shopping,3532.38,Shopping expense,want
2024-01-23 19:12:51,2024-01-23,19:12:51,January 2024,Week 4,Rent,4043.44,Rent expense,need
2024-01-24 05:10:59,2024-01-24,05:10:59,January 2024,Week 4,Utilities,2358.12,Utilities expense,need
2024-01-24 08:28:56,2024-01-24,08:28:56,January 2024,Week 4,Shopping,3010.74,Shopping expense,want
2024-01-24 16:41:37,2024-01-24,16:41:37,January 2024,Week 4,Shopping,457.11,Shopping expense,want
2024-01-24 18:58:14,2024-01-24,18:58:14,January 2024,Week 4,Shopping,3747.03,Shopping expense,want
2024-01-24 21:31:30,2024-01-24,21:31:30,January 2024,Week 4,Rent,2443.63,Rent expense,need
2024-01-26 04:13:01,2024-01-26,04:13:01,January 2024,Week 4,Shopping,707.08,Shopping expense,want
2024-01-26 11:06:13,2024-01-26,11:06:13,January 2024,Week 4,Transport,571.53,Transport expense,need
2024-01-26 23:06:48,2024-01-26,23:06:48,January 2024,Week 4,Subscriptions,3102.06,Subscriptions expense,want
2024-01-27 02:59:54,2024-01-27,02:59:54,January 2024,Week 4,Healthcare,1669.37,Healthcare expense,need
2024-01-27 14:20:35,2024-01-27,14:20:35,January 2024,Week 4,Shopping,144.14,Shopping expense,want
2024-01-28 02:52:26,2024-01-28,02:52:26,January 2024,Week 4,Rent,2085.74,Rent expense,need
2024-01-29 07:11:37,2024-01-29,07:11:37,January 2024,Week 5,Entertainment,2439.66,Entertainment expense,want
2024-01-29 10:32:06,2024-01-29,10:32:06,January 2024,Week 5,Dining Out,1995.84,Dining Out expense,want
2024-01-31 05:33:30,2024-01-31,05:33:30,January 2024,Week 5,Food Delivery,4624.16,Food Delivery expense,want
2024-01-31 13:04:58,2024-01-31,13:04:58,January 2024,Week 5,Rent,521.33,Rent expense,need
2024-02-01 01:14:32,2024-02-01,01:14:32,February 2024,Week 5,Subscriptions,4126.26,Subscriptions expense,want
2024-02-01 18:02:30,2024-02-01,18:02:30,February 2024,Week 5,Dining Out,3221.03,Dining Out expense,want
2024-02-02 07:22:45,2024-02-02,07:22:45,February 2024,Week 5,Shopping,4931.72,Shopping expense,want
2024-02-02 22:05:25,2024-02-02,22:05:25,February 2024,Week 5,Food Delivery,1442.75,Food Delivery expense,want
2024-02-03 03:04:19,2024-02-03,03:04:19,February 2024,Week 5,Travel,309.56,Travel expense,want
2024-02-03 03:54:07,2024-02-03,03:54:07,February 2024,Week 5,Food Delivery,1812.14,Food Delivery expense,want
2024-02-03 12:20:15,2024-02-03,12:20:15,February 2024,Week 5,Entertainment,2252.47,Entertainment expense,want
2024-02-03 13:59:45,2024-02-03,13:59:45,February 2024,Week 5,Dining Out,3102.78,Dining Out expense,want
2024-02-06 05:23:54,2024-02-06,05:23:54,February 2024,Week 6,Dining Out,3889.14,Dining Out expense,want
2024-02-06 10:41:33,2024-02-06,10:41:33,February 2024,Week 6,Transport,118.17,Transport expense,need
2024-02-06 13:43:54,2024-02-06,13:43:54,February 2024,Week 6,Food Delivery,2005.08,Food Delivery expense,want
2024-02-08 00:38:08,2024-02-08,00:38:08,February 2024,Week 6,Shopping,737.03,Shopping expense,want
2024-02-08 16:01:49,2024-02-08,16:01:49,February 2024,Week 6,Travel,4220.81,Travel expense,want
2024-02-10 14:41:58,2024-02-10,14:41:58,February 2024,Week 6,Transport,2489.79,Transport expense,need
2024-02-11 04:50:08,2024-02-11,04:50:08,February 2024,Week 6,Transport,4962.6,Transport expense,need
2024-02-12 09:31:16,2024-02-12,09:31:16,February 2024,Week 7,Entertainment,2187.68,Entertainment expense,want
2024-02-12 15:35:50,2024-02-12,15:35:50,February 2024,Week 7,Groceries,1439.58,Groceries expense,need
2024-02-12 15:50:23,2024-02-12,15:50:23,February 2024,Week 7,Healthcare,2760.55,Healthcare expense,need
2024-02-12 16:40:45,2024-02-12,16:40:45,February 2024,Week 7,Dining Out,4838.37,Dining Out expense,want
2024-02-12 18:07:33,2024-02-12,18:07:33,February 2024,Week 7,Groceries,3758.64,Groceries expense,need
2024-02-13 00:41:07,2024-02-13,00:41:07,February 2024,Week 7,Entertainment,2311.26,Entertainment expense,want
2024-02-13 23:30:57,2024-02-13,23:30:57,February 2024,Week 7,Food Delivery,585.65,Food Delivery expense,want
2024-02-13 23:47:40,2024-02-13,23:47:40,February 2024,Week 7,Rent,2354.61,Rent expense,need
2024-02-14 02:51:31,2024-02-14,02:51:31,February 2024,Week 7,Utilities,3322.19,Utilities expense,need
2024-02-14 10:21:12,2024-02-14,10:21:12,February 2024,Week 7,Food Delivery,3116.05,Food Delivery expense,want
2024-02-14 18:09:42,2024-02-14,18:09:42,February 2024,Week 7,Healthcare,4527.43,Healthcare expense,need
2024-02-15 03:26:32,2024-02-15,03:26:32,February 2024,Week 7,Transport,2704.6,Transport expense,need
2024-02-16 01:29:57,2024-02-16,01:29:57,February 2024,Week 7,Entertainment,2687.89,Entertainment expense,want
2024-02-16 16:51:50,2024-02-16,16:51:50,February 2024,Week 7,Travel,591.31,Travel expense,want
2024-02-17 10:33:09,2024-02-17,10:33:09,February 2024,Week 7,Shopping,3707.8,Shopping expense,want
2024-02-18 03:05:22,2024-02-18,03:05:22,February 2024,Week 7,Transport,207.62,Transport expense,need
2024-02-18 06:45:57,2024-02-18,06:45:57,February 2024,Week 7,Rent,4175.68,Rent expense,need
2024-02-18 12:22:42,2024-02-18,12:22:42,February 2024,Week 7,Healthcare,2132.17,Healthcare expense,need
2024-02-18 17:49:14,2024-02-18,17:49:14,February 2024,Week 7,Dining Out,828.01,Dining Out expense,want
2024-02-19 01:08:39,2024-02-19,01:08:39,February 2024,Week 8,Healthcare,2525.26,Healthcare expense,need
2024-02-19 20:05:58,2024-02-19,20:05:58,February 2024,Week 8,Groceries,3362.27,Groceries expense,need
2024-02-19 20:42:21,2024-02-19,20:42:21,February 2024,Week 8,Rent,1111.12,Rent expense,need
2024-02-19 21:45:08,2024-02-19,21:45:08,February 2024,Week 8,Groceries,4790.16,Groceries expense,need
2024-02-20 10:11:02,2024-02-20,10:11:02,February 2024,Week 8,Dining Out,3202.49,Dining Out expense,want
2024-02-20 22:58:51,2024-02-20,22:58:51,February 2024,Week 8,Subscriptions,3444.03,Subscriptions expense,want
2024-02-22 01:23:44,2024-02-22,01:23:44,February 2024,Week 8,Subscriptions,846.96,Subscriptions expense,want
2024-02-22 18:24:00,2024-02-22,18:24:00,February 2024,Week 8,Entertainment,4237.8,Entertainment expense,want
2024-02-22 20:50:17,2024-02-22,20:50:17,February 2024,Week 8,Healthcare,2816.72,Healthcare expense,need
2024-02-23 03:09:18,2024-02-23,03:09:18,February 2024,Week 8,Entertainment,4831.07,Entertainment expense,want
2024-02-23 07:07:50,2024-02-23,07:07:50,February 2024,Week 8,Groceries,236.64,Groceries expense,need
2024-02-23 11:38:26,2024-02-23,11:38:26,February 2024,Week 8,Utilities,1428.15,Utilities expense,need
2024-02-23 14:52:24,2024-02-23,14:52:24,February 2024,Week 8,Food Delivery,2535.79,Food Delivery expense,want
2024-02-25 02:05:37,2024-02-25,02:05:37,February 2024,Week 8,Healthcare,859.55,Healthcare expense,need
2024-02-26 06:24:06,2024-02-26,06:24:06,February 2024,Week 9,Food Delivery,1863.64,Food Delivery expense,want
2024-02-27 04:25:52,2024-02-27,04:25:52,February 2024,Week 9,Rent,1175.11,Rent expense,need
2024-02-27 08:31:57,2024-02-27,08:31:57,February 2024,Week 9,Rent,331.43,Rent expense,need
2024-02-28 02:39:07,2024-02-28,02:39:07,February 2024,Week 9,Travel,1605.8,Travel expense,want
2024-02-28 03:51:49,2024-02-28,03:51:49,February 2024,Week 9,Entertainment,4950.83,Entertainment expense,want
